 Gaussian points = 8
 FIXED SPECIES MIXING RATIOS:
    O2 =   2.100000000000000E-003  CO2 =   4.000000000000000E-004
 
    CH4 =   1.028627576680302E-008
 Standard CH3CL flux =  0.000E+00

 PO2= 1.273E-03  PNO= 3.670E-03  ZAPNO= 3.879E+02
 N= 4     X= 1.56520E-01  ERR= 4.16746E-06

 TIME = 0.0000E+00     TIMEY =   0.0000E+00 YEARS

 NPHOT =  0

 MIXING RATIOS OF LONG-LIVED SPECIES


     Z        H2CO     O        H2O      OH       HO2      H2O2     O3       H        H2       CH4      CO       CH3OOH  
  5.00E+04 9.49E-12 1.36E-15 1.13E-02 5.32E-12 4.77E-11 7.87E-10 1.73E-09 1.24E-17 1.88E-10 1.03E-08 2.98E-09 3.00E-11
  1.50E+05 5.94E-12 1.30E-15 6.98E-03 6.55E-12 3.69E-11 4.28E-10 1.19E-09 1.11E-17 1.84E-10 6.90E-09 9.99E-10 1.78E-11
  2.50E+05 3.60E-12 1.44E-15 4.15E-03 6.99E-12 3.03E-11 2.84E-10 1.01E-09 1.01E-17 1.82E-10 4.66E-09 5.09E-10 1.12E-11
  3.50E+05 2.26E-12 1.84E-15 2.26E-03 6.84E-12 2.46E-11 2.03E-10 1.07E-09 8.60E-18 1.85E-10 3.30E-09 3.38E-10 7.04E-12
  7.50E+05 5.09E-13 2.51E-14 1.66E-04 4.91E-12 1.20E-11 7.91E-11 9.53E-09 3.99E-18 2.45E-10 1.70E-09 3.23E-10 8.40E-13
  1.15E+06 2.96E-13 3.33E-14 9.30E-07 6.49E-13 1.05E-12 3.15E-12 6.35E-09 4.68E-19 4.47E-10 1.21E-09 2.85E-09 2.96E-12
  1.55E+06 7.40E-14 1.85E-12 9.28E-07 1.96E-12 3.63E-12 9.80E-12 9.20E-08 5.39E-18 3.40E-09 7.19E-10 6.51E-09 1.38E-13
  1.95E+06 3.44E-14 1.15E-11 9.18E-07 4.46E-12 7.77E-12 1.56E-11 9.21E-08 4.28E-17 1.32E-08 3.19E-10 1.06E-08 5.42E-14
  2.35E+06 1.70E-14 3.88E-11 9.02E-07 9.72E-12 1.42E-11 2.06E-11 5.73E-08 3.33E-16 2.89E-08 1.21E-10 1.60E-08 2.60E-14
  2.75E+06 7.60E-15 1.28E-10 8.79E-07 2.37E-11 2.41E-11 2.59E-11 4.25E-08 3.04E-15 5.09E-08 4.82E-11 2.07E-08 9.48E-15
  3.15E+06 3.47E-15 4.50E-10 8.44E-07 5.62E-11 3.79E-11 3.03E-11 3.70E-08 3.33E-14 8.42E-08 2.16E-11 2.61E-08 3.04E-15
  3.55E+06 1.68E-15 1.53E-09 7.91E-07 1.11E-10 6.16E-11 3.92E-11 3.31E-08 3.53E-13 1.35E-07 1.12E-11 3.75E-08 1.07E-15
  3.95E+06 1.31E-15 3.32E-09 7.17E-07 2.10E-10 1.13E-10 6.57E-11 1.99E-08 2.64E-12 2.07E-07 5.98E-12 7.07E-08 3.66E-16
  4.35E+06 2.16E-15 4.97E-09 6.20E-07 4.29E-10 2.40E-10 1.49E-10 8.43E-09 1.60E-11 3.03E-07 2.54E-12 1.77E-07 9.93E-17
  4.75E+06 2.17E-15 8.00E-09 4.97E-07 7.81E-10 4.59E-10 2.87E-10 3.87E-09 9.31E-11 4.23E-07 8.15E-13 4.51E-07 2.31E-17
  5.15E+06 1.34E-15 1.58E-08 3.51E-07 1.16E-09 6.91E-10 3.70E-10 2.16E-09 5.14E-10 5.66E-07 2.19E-13 1.18E-06 4.78E-18
  5.55E+06 7.04E-16 3.95E-08 2.07E-07 1.36E-09 7.69E-10 2.76E-10 1.50E-09 2.67E-09 7.06E-07 5.95E-14 3.01E-06 8.77E-19
  5.95E+06 3.53E-16 1.66E-07 1.01E-07 1.26E-09 5.99E-10 9.65E-11 1.60E-09 1.63E-08 8.04E-07 1.80E-14 6.52E-06 9.91E-20
  6.35E+06 3.53E-17 1.59E-05 3.81E-08 1.19E-10 2.36E-11 2.29E-12 3.03E-08 1.04E-07 8.22E-07 6.46E-15 1.10E-05 3.37E-21
  6.75E+06 4.68E-18 1.14E-04 1.53E-08 3.81E-11 2.55E-12 5.26E-14 6.75E-08 1.53E-07 8.20E-07 2.77E-15 1.52E-05 1.70E-22
  7.15E+06 1.69E-18 3.19E-04 7.08E-09 1.32E-11 5.32E-13 1.83E-15 6.06E-08 1.73E-07 8.18E-07 1.41E-15 1.91E-05 1.49E-23
  7.55E+06 9.02E-19 6.46E-04 3.52E-09 4.14E-12 1.38E-13 8.60E-17 3.69E-08 1.84E-07 8.15E-07 7.86E-16 2.35E-05 1.79E-24
  7.95E+06 5.39E-19 1.14E-03 1.69E-09 1.17E-12 3.79E-14 4.11E-18 1.78E-08 1.91E-07 8.12E-07 4.36E-16 2.96E-05 2.24E-25
  8.35E+06 3.63E-19 1.77E-03 7.89E-10 3.00E-13 1.09E-14 2.13E-19 6.81E-09 1.95E-07 8.09E-07 2.42E-16 3.74E-05 2.92E-26
  8.75E+06 2.76E-19 2.43E-03 3.66E-10 7.20E-14 3.25E-15 1.27E-20 2.12E-09 1.98E-07 8.05E-07 1.36E-16 4.65E-05 4.02E-27
  9.15E+06 2.32E-19 3.06E-03 1.73E-10 1.78E-14 1.00E-15 8.89E-22 5.71E-10 1.99E-07 8.00E-07 7.87E-17 5.57E-05 5.89E-28
  9.55E+06 2.15E-19 3.67E-03 8.80E-11 5.77E-15 3.13E-16 7.56E-23 1.41E-10 1.98E-07 7.90E-07 4.86E-17 6.42E-05 9.26E-29
  9.95E+06 2.26E-19 4.37E-03 5.53E-11 3.16E-15 9.35E-17 1.14E-23 3.30E-11 1.96E-07 7.72E-07 3.47E-17 7.12E-05 2.14E-29
     Z        H2CO     O        H2O      OH       HO2      H2O2     O3       H        H2       CH4      CO       CH3OOH  

     Z        CH3O2    N2O      NO       NO2      HNO2     HNO3     HO2NO2   NO3      N2O5     CL2O2    CH3CL    HOCL    
  5.00E+04 2.19E-12 9.90E-10 1.51E-14 1.08E-13 9.01E-15 6.84E-12 1.01E-14 9.94E-15 7.93E-19 3.49E-16 5.00E-10 4.98E-10
  1.50E+05 1.92E-12 9.50E-10 2.34E-14 1.73E-13 1.53E-14 1.03E-11 2.60E-14 1.77E-14 3.64E-18 1.57E-15 1.95E-10 5.35E-10
  2.50E+05 1.49E-12 9.11E-10 3.63E-14 2.73E-13 2.26E-14 1.47E-11 6.78E-14 2.74E-14 1.50E-17 4.94E-15 7.40E-11 5.26E-10
  3.50E+05 1.08E-12 8.73E-10 4.98E-14 3.95E-13 2.69E-14 1.88E-11 1.45E-13 3.98E-14 5.76E-17 1.61E-14 2.96E-11 5.30E-10
  7.50E+05 1.56E-13 7.32E-10 6.14E-14 7.28E-13 1.40E-14 1.98E-11 3.42E-13 1.55E-13 4.07E-15 1.49E-12 3.41E-12 6.60E-10
  1.15E+06 8.62E-13 5.83E-10 1.27E-13 1.66E-12 2.35E-15 5.61E-12 1.97E-13 3.00E-13 3.49E-14 1.08E-10 1.09E-12 9.75E-11
  1.55E+06 3.23E-14 1.65E-10 2.49E-13 2.36E-12 4.92E-15 6.74E-12 2.60E-13 3.09E-13 2.35E-14 7.62E-11 2.11E-13 2.72E-10
  1.95E+06 1.43E-14 2.76E-11 1.08E-12 5.42E-12 1.63E-14 9.81E-12 3.26E-13 2.34E-13 1.60E-14 2.39E-11 2.40E-14 3.20E-10
  2.35E+06 8.51E-15 8.81E-12 3.27E-12 7.39E-12 3.39E-14 8.89E-12 2.14E-13 8.64E-14 3.37E-15 5.37E-12 2.12E-15 2.72E-10
  2.75E+06 4.27E-15 3.85E-12 6.03E-12 5.08E-12 4.66E-14 4.71E-12 6.58E-14 1.48E-14 1.70E-16 8.45E-13 2.04E-16 1.78E-10
  3.15E+06 1.96E-15 1.89E-12 7.47E-12 1.89E-12 4.10E-14 1.30E-12 1.03E-14 1.81E-15 3.23E-18 8.95E-14 2.40E-17 8.73E-11
  3.55E+06 8.43E-16 9.38E-13 7.12E-12 4.27E-13 2.28E-14 1.79E-13 1.07E-15 2.26E-16 3.64E-20 4.65E-15 4.25E-18 3.06E-11
  3.95E+06 2.98E-16 4.13E-13 6.37E-12 1.40E-13 1.13E-14 3.30E-14 1.86E-16 4.17E-17 8.55E-22 1.36E-16 1.28E-18 9.39E-12
  4.35E+06 7.53E-17 1.65E-13 5.93E-12 1.14E-13 6.27E-15 1.60E-14 9.09E-17 1.62E-17 1.02E-22 3.11E-18 5.68E-19 3.10E-12
  4.75E+06 1.67E-17 6.44E-14 5.67E-12 1.07E-13 3.17E-15 8.01E-15 4.82E-17 7.42E-18 1.60E-23 7.36E-20 3.30E-19 9.28E-13
  5.15E+06 3.64E-18 2.29E-14 5.44E-12 7.48E-14 1.31E-15 2.46E-15 1.59E-17 2.63E-18 1.36E-24 2.12E-21 2.31E-19 2.36E-13
  5.55E+06 8.27E-19 6.86E-15 5.20E-12 3.24E-14 4.29E-16 3.92E-16 2.57E-18 7.01E-19 5.25E-26 7.01E-23 1.86E-19 4.66E-14
  5.95E+06 1.42E-19 1.44E-15 4.88E-12 6.50E-15 1.08E-16 2.49E-17 1.38E-19 1.41E-19 7.21E-28 2.40E-24 1.62E-19 5.74E-15
  6.35E+06 2.34E-20 3.21E-16 4.50E-12 1.11E-16 2.80E-18 1.80E-19 1.08E-22 5.14E-21 2.67E-31 4.54E-25 1.48E-19 7.31E-18
  6.75E+06 1.42E-20 3.35E-16 4.11E-12 5.49E-17 2.37E-19 2.89E-21 6.88E-25 1.43E-21 5.73E-33 4.75E-26 1.39E-19 6.66E-20
  7.15E+06 1.30E-20 3.73E-16 3.78E-12 2.74E-17 2.21E-20 1.07E-22 1.97E-26 3.88E-22 2.47E-34 2.58E-27 1.33E-19 2.15E-21
  7.55E+06 1.27E-20 4.24E-16 3.48E-12 1.36E-17 1.87E-21 5.58E-24 7.62E-28 1.04E-22 1.02E-35 9.61E-29 1.28E-19 9.88E-23
  7.95E+06 1.26E-20 5.05E-16 3.16E-12 6.68E-18 1.41E-22 2.77E-25 2.97E-29 2.76E-23 3.95E-37 2.68E-30 1.23E-19 4.72E-24
  8.35E+06 1.24E-20 5.72E-16 2.84E-12 3.24E-18 9.52E-24 1.31E-26 1.20E-30 7.24E-24 1.49E-38 5.67E-32 1.17E-19 2.34E-25
  8.75E+06 1.20E-20 5.86E-16 2.53E-12 1.56E-18 5.96E-25 5.99E-28 5.06E-32 1.88E-24 5.50E-40 9.55E-34 1.10E-19 1.22E-26
  9.15E+06 1.14E-20 5.52E-16 2.24E-12 7.47E-19 3.83E-26 2.78E-29 2.21E-33 4.83E-25 2.01E-41 1.35E-35 1.02E-19 6.51E-28
  9.55E+06 1.05E-20 4.94E-16 2.01E-12 3.62E-19 3.23E-27 1.39E-30 9.95E-35 1.25E-25 7.47E-43 1.67E-37 9.12E-20 3.43E-29
  9.95E+06 9.18E-21 4.30E-16 1.88E-12 1.83E-19 4.92E-28 1.09E-31 5.41E-36 3.36E-26 3.36E-44 1.82E-39 7.75E-20 1.64E-30
     Z        CH3O2    N2O      NO       NO2      HNO2     HNO3     HO2NO2   NO3      N2O5     CL2O2    CH3CL    HOCL    

     Z        CL       CLO      HCL      CLONO2   O2       H2S      HS       SO       SO2      H2SO4    HSO      CO2     
  5.00E+04 3.66E-13 2.54E-11 3.12E-10 8.02E-13 2.10E-03 2.82E-14 8.52E-17 1.15E-17 1.18E-12 6.08E-12 1.96E-15 4.00E-04
  1.50E+05 8.18E-13 4.00E-11 3.89E-10 1.32E-12 2.10E-03 2.83E-14 1.44E-16 1.71E-17 1.24E-12 8.89E-12 1.82E-15 4.05E-04
  2.50E+05 1.25E-12 5.19E-11 4.09E-10 2.02E-12 2.11E-03 3.20E-14 2.04E-16 2.65E-17 1.40E-12 1.09E-11 2.00E-15 4.09E-04
