 Gaussian points = 8
 FIXED SPECIES MIXING RATIOS:
    O2 =   2.100000000000000E-002  CO2 =   4.000000000000000E-004
 
    CH4 =   2.515160117354389E-006
 Standard CH3CL flux =  2.920E+08

 PO2= 9.350E-03  PNO= 9.853E-03  ZAPNO= 1.041E+03
 N= 4     X= 3.45876E-01  ERR= 2.88067E-07

 TIME = 0.0000E+00     TIMEY =   0.0000E+00 YEARS

 NPHOT =  0

 MIXING RATIOS OF LONG-LIVED SPECIES


     Z        H2CO     O        H2O      OH       HO2      H2O2     O3       H        H2       CH4      CO       CH3OOH  
  5.00E+04 1.49E-10 2.54E-16 1.13E-02 3.02E-14 1.03E-11 1.16E-09 1.00E-08 5.56E-20 8.40E-07 2.52E-06 1.27E-07 1.04E-09
  1.50E+05 1.57E-10 3.61E-16 6.98E-03 3.53E-14 1.05E-11 1.24E-09 1.22E-08 6.27E-20 8.40E-07 2.51E-06 1.20E-07 1.07E-09
  2.50E+05 1.59E-10 5.33E-16 4.15E-03 4.11E-14 1.06E-11 1.30E-09 1.54E-08 7.06E-20 8.41E-07 2.51E-06 1.13E-07 1.05E-09
  3.50E+05 1.52E-10 7.88E-16 2.26E-03 4.57E-14 1.03E-11 1.26E-09 1.95E-08 7.67E-20 8.41E-07 2.50E-06 1.07E-07 9.60E-10
  7.50E+05 7.61E-11 3.42E-15 1.66E-04 5.58E-14 7.93E-12 7.05E-10 4.26E-08 9.23E-20 8.43E-07 2.50E-06 8.96E-08 4.48E-10
  1.15E+06 2.30E-11 1.40E-14 9.18E-07 7.51E-14 4.85E-12 2.64E-10 1.00E-07 1.17E-19 8.43E-07 2.48E-06 7.54E-08 1.06E-10
  1.55E+06 2.22E-11 3.90E-13 1.21E-06 1.78E-13 3.55E-12 4.77E-11 7.55E-07 2.22E-19 8.39E-07 2.34E-06 3.19E-08 4.64E-11
  1.95E+06 3.98E-11 4.75E-12 2.06E-06 6.33E-13 9.40E-12 1.12E-10 2.16E-06 8.55E-19 8.08E-07 1.93E-06 1.37E-08 7.51E-11
  2.35E+06 5.91E-11 2.95E-11 3.05E-06 2.63E-12 2.71E-11 2.93E-10 3.23E-06 8.00E-18 7.49E-07 1.46E-06 1.22E-08 8.04E-11
  2.75E+06 7.42E-11 1.45E-10 3.95E-06 1.18E-11 5.74E-11 3.50E-10 3.20E-06 1.37E-16 6.79E-07 1.04E-06 1.18E-08 5.90E-11
  3.15E+06 7.25E-11 6.40E-10 4.68E-06 5.06E-11 7.62E-11 1.60E-10 2.12E-06 3.39E-15 6.25E-07 6.99E-07 1.03E-08 2.66E-11
  3.55E+06 6.64E-11 2.58E-09 5.14E-06 1.33E-10 8.85E-11 7.31E-11 1.04E-06 6.26E-14 6.40E-07 4.57E-07 1.06E-08 1.42E-11
  3.95E+06 4.47E-11 6.89E-09 5.25E-06 2.16E-10 1.14E-10 6.50E-11 6.21E-07 4.54E-13 7.75E-07 3.26E-07 1.23E-08 1.01E-11
  4.35E+06 2.67E-11 1.34E-08 5.14E-06 3.19E-10 1.58E-10 7.86E-11 3.67E-07 2.16E-12 1.01E-06 2.57E-07 1.74E-08 7.23E-12
  4.75E+06 1.61E-11 2.12E-08 4.91E-06 5.05E-10 2.46E-10 1.17E-10 1.84E-07 9.47E-12 1.33E-06 2.06E-07 2.90E-08 4.83E-12
  5.15E+06 2.01E-11 2.83E-08 4.58E-06 9.34E-10 4.56E-10 2.35E-10 7.79E-08 4.28E-11 1.73E-06 1.56E-07 6.00E-08 2.78E-12
  5.55E+06 6.98E-11 3.34E-08 4.17E-06 2.12E-09 1.04E-09 6.36E-10 2.79E-08 2.19E-10 2.22E-06 1.06E-07 1.45E-07 1.46E-12
  5.95E+06 1.34E-10 4.60E-08 3.65E-06 4.51E-09 2.14E-09 1.44E-09 1.14E-08 1.21E-09 2.80E-06 6.29E-08 3.40E-07 6.95E-13
